Date,Close
1980-01-02,99.985
1980-02-01,98.984005
1980-03-03,89.86003207
1980-04-01,94.15683741
1980-05-01,98.51646431
1980-06-02,101.0324332
1980-07-01,106.5903894
1980-08-01,106.8491116
1980-09-02,109.1654982
1980-10-01,110.5712266
1980-11-03,120.813115
1980-12-01,117.3097396
1981-01-02,112.32885
1981-02-02,113.4488564
1981-03-02,117.4337224
1981-04-01,114.4698961
1981-05-01,114.7411326
1981-06-01,113.5576208
1981-07-01,113.0672785
1981-08-03,106.3764987
1981-09-01,101.069978
1981-10-01,106.0605239
1981-11-02,110.6140533
1981-12-01,107.1226255
1982-01-04,105.4191001
1982-02-01,99.89319639
1982-03-01,99.12010006
1982-04-01,103.0067612
1982-05-03,99.55021224
1982-06-01,97.55701182
1982-07-01,96.07595976
1982-08-02,106.392041
1982-09-01,107.5459593
1982-10-01,118.6297283
1982-11-01,122.5367522
1982-12-01,124.4983284
1983-01-03,128.122778
1983-02-01,130.7330485
1983-03-01,134.7078309
1983-04-04,144.3803148
1983-05-02,142.3596547
1983-06-01,146.3137366
1983-07-01,141.7774046
1983-08-01,143.3445989
1983-09-01,145.1524219
1983-10-03,143.1298063
1983-11-01,145.5413747
1983-12-01,144.3461929
1984-01-03,143.4990833
1984-02-01,138.3198586
1984-03-01,139.7016781
1984-04-02,140.2853293
1984-05-01,132.2468705
1984-06-01,134.5265586
1984-07-02,133.0692429
1984-08-01,145.9160807
1984-09-04,145.9006113
1984-10-01,146.3900403
1984-11-01,144.7057438
1984-12-03,147.7133892
1985-01-02,157.83487
1985-02-01,158.7608419
1985-03-01,158.6054223
1985-04-01,158.2878947
1985-05-01,166.6923356
1985-06-03,168.6831646
1985-07-01,167.8285397
1985-08-01,166.3659361
1985-09-03,161.3236349
1985-10-01,167.779064
1985-11-01,178.0353907
1985-12-02,185.7406922
1986-01-02,186.2005859
1986-02-03,199.0145556
1986-03-03,208.9496178
1986-04-01,206.4271262
1986-05-01,215.2114655
1986-06-02,218.5574622
1986-07-01,207.0384604
1986-08-01,220.6814326
1986-09-02,203.2395353
1986-10-01,213.52482
1986-11-03,217.952933
1986-12-01,212.5377064
1987-01-02,237.9902555
1987-02-02,246.1025097
1987-03-02,251.7975248
1987-04-01,248.332483
1987-05-01,249.4887309
1987-06-01,260.6165015
1987-07-01,272.1374456
1987-08-03,280.7477355
1987-09-01,273.8529354
1987-10-01,219.2197044
1987-11-02,202.5232649
1987-12-01,216.0037943
1988-01-04,224.7528464
1988-02-01,233.572777
1988-03-01,226.1818399
1988-04-04,227.9263631
1988-05-02,228.3684626
1988-06-01,237.7757412
1988-07-01,236.4985345
1988-08-01,228.2207113
1988-09-01,236.887357
1988-10-03,242.8232323
1988-11-01,238.4059501
1988-12-01,241.6163522
1989-01-03,257.4153279
1989-02-01,250.5449507
1989-03-01,255.4008005
1989-04-03,267.4733768
1989-05-01,276.5638151
1989-06-01,275.3513549
1989-07-03,298.1033079
1989-08-01,301.8517267
1989-09-01,300.0834413
1989-10-02,293.6682088
1989-11-01,298.2637215
1989-12-01,304.0983407
1990-01-02,284.4743881
1990-02-01,286.7032005
1990-03-01,292.9628563
1990-04-02,285.4948891
1990-05-01,310.0290694
1990-06-01,307.9243388
1990-07-02,306.8707097
1990-08-01,280.2635728
1990-09-04,267.6565196
1990-10-01,265.8007141
1990-11-01,280.5707952
1990-12-03,287.332354
1991-01-02,298.2451976
1991-02-01,316.5734011
1991-03-01,323.2837893
1991-04-01,323.8561192
1991-05-01,335.0861967
1991-06-03,320.7914571
1991-07-01,333.9483817
1991-08-01,340.7583622
1991-09-03,335.9100751
1991-10-01,339.8006128
1991-11-01,327.2292289
1991-12-02,360.5437268
1992-01-02,353.5978527
1992-02-03,356.9099753
1992-03-02,350.0047995
1992-04-01,358.5658815
1992-05-01,359.9349103
1992-06-01,355.1440462
1992-07-01,368.7399069
1992-08-03,361.6808944
1992-09-01,364.993212
1992-10-01,364.8067572
1992-11-02,374.1684352
